Model,Accuracy,Recall,F1-Score,ROC-AUC
Random Forest (Initial),0.9244,0.9206,0.928,0.9653
Random Forest (Tuned),0.9244,0.9206,0.928,0.9724
XGBoost (Initial),0.9202,0.9048,0.9231,0.9636
XGBoost (Tuned),0.9286,0.9127,0.9312,0.9641
